"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 09:50:05 BDT 2024","Tue May 21 09:50:18 BDT 2024","13040","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
"passed","Tue May 21 09:50:31 BDT 2024","Tue May 21 09:50:44 BDT 2024","13153","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
"passed","Tue May 21 09:50:18 BDT 2024","Tue May 21 09:50:31 BDT 2024","12961","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
"passed","Tue May 21 09:50:44 BDT 2024","Tue May 21 09:50:57 BDT 2024","12978","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
"passed","Tue May 21 09:49:52 BDT 2024","Tue May 21 09:50:05 BDT 2024","13059","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
"passed","Tue May 21 09:49:38 BDT 2024","Tue May 21 09:49:52 BDT 2024","13920","All Test Suite","E:/WebAutomation/E-BazarTest/src/test/java/TestCases","TestCases.TestSignUp","TestCases.TestSignUp","TestSignUpWithInValid_Credentials","User Sign Up With Invalid Credentials","Test Add Using allure: User Sign Up With Invalid Credentials"
